# name,mass,radius,orbital_period,temp_calculated,star_name,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,log_g
Kepler-107 e,0.02706,0.259,14.749143,955,Kepler-107,525.5,0.321,1.24,1.45,4.29,5854,
Kepler-1070 b,,0.154,6.2216147,,Kepler-1070,1040,0.03,1.21,1.32,2.75,6261,
Kepler-1071 b,,0.212,6.1799844,,Kepler-1071,964,0.01,0.86,0.81,4.27,5215,
Kepler-1072 b,,0.141,1.5690665,,Kepler-1072,976,0.07,1.2,1.32,2.88,6199,
Kepler-1073 b,,0.205,8.67888593,,Kepler-1073,837,0,1,1,3.72,5792,
Kepler-1073 c,,0.146,4.02582254,,Kepler-1073,837,0,1,1,3.72,5792,
Kepler-1074 b,,0.112,5.94566534,,Kepler-1074,245,-0.06,0.6,0.57,3.55,4002,
Kepler-1075 b,,0.127,1.52372816,,Kepler-1075,265,-0.17,0.56,0.54,2.95,3959,
Kepler-1076 b,,0.071,6.14727918,,Kepler-1076,199,-0.01,0.79,0.74,3.72,4868,
Kepler-1077 b,,0.247,34.3511874,,Kepler-1077,1098,0.03,1.02,1.02,4.17,5816,
Kepler-1078 b,,0.17,3.00725242,,Kepler-1078,1215,-0.01,0.94,0.92,4.37,5612,
Kepler-1079 b,,0.145,13.24503188,,Kepler-1079,481,0.21,1.08,1.36,6.61,5758,
Kepler-108 b,,0.772,49.183921,,Kepler-108,729,-0.026,0.87,2.19,,5854,
Kepler-108 c,,0.73,190.323494,,Kepler-108,729,-0.026,0.87,2.19,,5854,
Kepler-1080 b,,0.293,77.2548396,,Kepler-1080,688,0.09,1.1,1.16,3.89,5956,
Kepler-1081 b,,0.09,3.85691855,,Kepler-1081,425,0.01,0.88,0.84,4.68,5345,
Kepler-1082 b,,0.1,1.5432066,,Kepler-1082,628,-0.06,1.03,1.14,5.75,5923,
Kepler-1083 b,,0.3,33.4177993,,Kepler-1083,912,-0.02,0.81,0.77,4.68,5049,
Kepler-1084 b,,0.099,2.05333679,,Kepler-1084,427,-0.02,1.12,1.28,4.07,6113,
Kepler-1085 b,,0.644,219.3217528,,Kepler-1085,1518,0.08,1.11,1.14,3.39,6000,
Kepler-1085 c,,0.292,56.7771,,Kepler-1085,1518,0.08,1.11,1.14,3.39,6000,
Kepler-1086 b,,0.218,18.78425728,,Kepler-1086,464,0.06,0.7,0.66,2.88,4350,
Kepler-1086 c,,0.262,161.5163345,,Kepler-1086,464,0.06,0.7,0.66,2.88,4350,
Kepler-1087 b,,0.054,0.69384285,,Kepler-1087,354,0.01,0.96,0.94,3.55,5589,
Kepler-1088 b,,0.127,23.12748644,,Kepler-1088,300,0.05,1.08,1.08,3.02,5975,
Kepler-1089 b,,0.163,5.13248562,,Kepler-1089,227,-0.09,0.52,0.49,3.72,3753,
Kepler-109 b,0.02297,0.211,6.48163,,Kepler-109,481.4,-0.08,1.04,1.32,5.73,5952,
Kepler-109 c,0.06859,0.225,21.2227,,Kepler-109,481.4,-0.08,1.04,1.32,5.73,5952,
Kepler-1090 b,,0.201,198.680179,,Kepler-1090,702,-0.04,0.86,0.82,4.37,5321,
Kepler-1091 b,,0.13,1.43474156,,Kepler-1091,915,0,1.01,1.03,3.47,5851,
Kepler-1092 b,,0.185,58.6017925,,Kepler-1092,914,-0.09,0.99,1,3.8,5862,
Kepler-1093 b,,0.174,25.0824626,,Kepler-1093,848,-0.01,1.13,1.2,2.95,6166,
Kepler-1093 c,,0.175,89.722292,,Kepler-1093,848,-0.01,1.13,1.2,2.95,6166,
Kepler-1094 b,,0.284,78.1000231,,Kepler-1094,1371,0.06,1.14,1.21,3.09,6112,
Kepler-1095 b,,0.108,4.27103091,,Kepler-1095,758,-0.09,0.94,0.92,4.47,5658,
Kepler-1096 b,,0.111,2.89221751,,Kepler-1096,344,-0.1,0.66,0.63,3.8,4306,
Kepler-1097 b,,0.291,187.747029,,Kepler-1097,738,-0.11,0.82,0.79,4.9,5211,
Kepler-1098 b,,0.116,2.54307286,,Kepler-1098,876,-0.02,0.99,0.99,3.98,5794,
Kepler-1099 b,,0.252,2.16845259,,Kepler-1099,1209,-0.02,1.01,1,3.63,5837,
Kepler-11 b,0.006,0.161,10.3039,,Kepler-11,658.59,0,0.96,1.06,8.5,5663,
Kepler-11 c,0.009,0.256,13.0241,,Kepler-11,658.59,0,0.96,1.06,8.5,5663,
Kepler-11 d,0.023,0.278,22.6845,,Kepler-11,658.59,0,0.96,1.06,8.5,5663,
Kepler-11 e,0.025,0.374,31.9996,,Kepler-11,658.59,0,0.96,1.06,8.5,5663,
Kepler-11 f,0.006,0.222,46.6888,,Kepler-11,658.59,0,0.96,1.06,8.5,5663,
Kepler-11 g,0.079,0.297,118.3807,,Kepler-11,658.59,0,0.96,1.06,8.5,5663,
